price_per_m,area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
63063,44.4,5,2,18,8,3,1,0,0,106,1712,448,3800,5,9,1,1,0,0,0,0,0,0,64,0,64,0,0,0,2,1,0,0,2,3,1,21,4,0,0,5,2,0,0,1,0
73837,86.0,4,2,11,1,1,0,0,0,175,2907,960,2300,10,12,1,0,0,0,1,0,0,0,37,33,34,32,2,1,0,0,5,1,2,1,0,11,6,0,0,0,0,1,1,38,14
100274,72.8,9,1,51,2,32,2,0,0,197,8718,457,1900,8,14,6,0,1,0,2,0,1,0,41,39,40,35,2,0,11,1,13,2,2,2,1,28,6,0,0,12,2,4,0,129,19
56074,42.8,3,2,21,1,8,2,1,0,481,5642,964,700,1,5,0,0,2,1,1,1,2,2,33,31,31,28,1,0,1,0,1,0,2,1,0,46,18,1,0,8,0,0,0,48,16
48863,44.0,5,1,15,8,3,1,0,0,255,1845,459,3700,5,5,1,1,0,0,0,0,0,0,29,0,20,0,0,0,3,1,0,0,2,3,1,19,4,0,0,5,3,0,0,5,0
109210,76.0,4,2,38,5,22,5,0,0,455,10826,542,3900,3,6,5,2,0,0,3,1,0,0,36,38,28,33,4,0,5,3,15,6,2,3,0,19,9,0,0,13,0,2,0,13,4
115789,76.0,9,3,34,12,33,8,0,0,123,9475,770,2300,24,25,6,3,1,1,2,0,0,0,42,43,40,47,9,1,4,2,18,8,2,1,0,22,6,0,0,13,6,5,3,94,61
84146,82.0,4,0,18,0,11,2,0,0,632,5028,622,900,14,17,5,1,4,1,3,3,4,2,42,29,32,22,2,0,5,1,6,0,2,3,0,48,10,0,0,5,0,0,0,30,4
44285,35.0,5,4,53,14,13,4,0,0,140,9077,656,2500,1,3,3,0,3,1,2,1,1,0,37,43,32,40,1,1,7,3,11,8,2,1,0,20,11,0,0,8,5,0,0,74,26
55681,44.0,2,1,18,4,7,2,1,0,416,5330,685,600,1,5,0,0,2,0,1,0,1,0,31,47,30,47,1,0,1,0,1,0,2,1,0,39,8,1,0,5,1,0,0,25,2
90909,66.0,2,0,24,11,4,4,0,0,167,2275,2540,5900,16,20,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,2,0,0,27,10,0,0,5,3,0,0,0,0
88874,78.2,4,0,15,0,4,1,0,0,552,2434,171,4100,3,21,0,0,0,0,3,0,1,1,35,40,38,40,2,0,3,0,2,0,2,1,1,44,21,0,0,5,0,0,0,12,2
108333,60.0,1,0,12,5,4,2,0,0,288,2695,585,3500,22,24,0,0,1,0,3,0,1,0,34,30,30,30,0,0,2,0,2,1,2,1,0,30,8,0,0,6,2,0,0,34,1
81558,77.0,3,0,10,0,4,1,0,0,672,2572,271,4000,15,19,0,0,0,0,2,0,1,0,38,40,41,40,2,0,2,0,1,0,2,1,1,44,19,0,0,4,0,0,0,10,2
84216,83.0,3,1,11,3,2,0,0,0,363,2196,793,4900,6,9,0,0,1,0,0,0,2,0,39,33,42,40,2,2,1,1,0,0,2,1,0,37,15,0,0,3,0,0,0,9,3
54229,46.1,2,1,9,2,0,0,0,0,478,2827,670,4200,4,9,0,0,0,0,0,0,0,0,32,0,30,0,0,0,1,0,0,0,2,2,0,6,1,0,0,3,0,0,0,5,0
